gene_callers_id	DSS3_ac_a	DSS3_ac_b	DSS3_glc_a	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_b	DSS3_glc_c
1	171.40952890792292	196.48768736616702	127.92023554603854	190.11134903640257	137.60010706638116	135.5754817987152	106.57334047109208	92.65471092077088	128.6252676659529	147.4973233404711	137.9389721627409
2	111.13355048859935	137.43485342019545	80.19218241042346	142.36807817589576	116.97068403908794	108.88436482084691	85.50162866449512	72.76872964169381	98.42833876221498	84.3485342019544	98.28175895765472
3	329.1656288916563	335.3262764632628	227.77584059775842	319.2503113325031	224.93897882938978	221.266500622665	243.9041095890411	203.72104607721047	273.4557907845579	222.40473225404733	225.60772104607722
4	696.1876404494382	683.0483146067415	409.84157303370785	482.6943820224719	362.2550561797753	381.64831460674156	335.86516853932585	311.6505617977528	411.7505617977528	463.2651685393258	415.523595505618
5	433.8895184135977	370.8328611898017	447.4985835694051	329.40793201133147	242.1671388101983	300.5609065155807	205.8611898016997	200.5212464589235	259.657223796034	329.699716713881	446.5524079320113
6	272.5695764909248	288.5799481417459	128.04407951598964	235.36646499567848	168.55401901469318	169.35782195332757	133.1391529818496	121.29732065687122	168.81158167675022	130.94641313742437	127.60847018150389
7	296.30944625407164	340.63680781758956	225.8355048859935	319.15635179153094	246.87459283387622	242.48371335504885	247.69218241042344	210.32899022801303	328.57654723127035	258.2785016286645	217.79315960912052
8	348.2440392706872	381.80504908835906	283.0518934081346	443.40813464235623	321.0631136044881	329.11220196353435	363.7615708274895	283.73772791023845	407.55820476858344	332.9270687237027	285.97615708274895
9	427.99906015037595	383.7885338345865	377.12875939849624	286.00375939849624	237.8684210526316	231.6531954887218	226.81766917293234	226.4295112781955	311.55357142857144	419.38157894736844	378.72086466165416
10	1301.1847246891653	1521.3747779751332	994.2699822380107	1655.2451154529308	1485.7300177619893	1323.8952042628775	909.3960923623446	992.9946714031971	1448.259325044405	1287.1474245115453	1033.8241563055062
11	139.58032662362325	160.99430307633878	114.90201291302697	150.87656665400684	112.03608051652108	108.61033042157236	122.02126851500189	112.77326243828333	167.60235472844664	144.11241929358147	125.63083934675275
12	576.0913525498892	579.7649667405765	312.4611973392461	524.4385809312639	400.16141906873617	380.1658536585366	387.43769401330377	320.42749445676276	496.4523281596452	388.6820399113082	335.88337028824833
13	512.6628440366973	716.3176605504588	388.6066513761468	647.3956422018349	534.8199541284404	531.1376146788991	432.7442660550459	431.05160550458714	643.3428899082569	537.8360091743119	438.901376146789
14	148.1963746223565	183.79456193353474	72.32326283987915	113.42447129909365	84.46374622356495	86.29305135951661	89.87009063444108	83.93504531722054	137.9199395770393	75.21450151057402	69.47885196374622
15	196.5549805950841	217.496765847348	422.47218628719276	321.104786545925	250.54592496765846	273.71021992238036	231.36093143596378	280.4385510996119	331.3842173350582	440.4540750323415	467.248382923674
16	152.711743772242	161.94306049822063	155.86832740213524	240.0747330960854	175.48398576512454	169.76868327402136	117.59074733096085	137.33807829181495	161.02135231316726	166.03202846975088	160.07829181494662
17	222.33860045146727	270.6907449209932	181.43566591422123	300.25959367945825	234.06772009029345	241.33860045146727	241.22799097065462	218.3273137697517	307.5056433408578	226.7042889390519	196.93227990970655
18	356.44914564686735	410.3279088689992	266.69243287225385	408.2807160292921	272.80960130187145	264.9967453213995	329.83482506102524	257.5484133441823	381.3433685923515	313.246541903987	274.8779495524817
19	295.5831325301205	302.42409638554216	118.9855421686747	269.30843373493974	198.43855421686746	178.7253012048193	354.4024096385542	277.3734939759036	398.4457831325301	118.18192771084337	109.56746987951807
20	209.03588907014682	205.3931484502447	159.88988580750407	187.96166394779772	135.51549755301795	133.66231647634584	132.19249592169658	156.74714518760194	201.03670473083199	163.51876019575857	160.04649265905383
21	296.74220963172803	299.6657223796034	86.06515580736544	117.02832861189802	91.5042492917847	95.68555240793201	126.69405099150141	126.1756373937677	158.62889518413598	80.41926345609065	86.3342776203966
22	81.51608077786088	74.98279730740464	19.8623784592371	33.19222139117427	26.613313388182497	23.528795811518325	17.858638743455497	20.739715781600598	23.93044128646223	22.37995512341062	20.67838444278235
23	83.45132743362832	87.01327433628319	61.80088495575221	50.44911504424779	37.110619469026545	36.533185840707965	39.34513274336283	36.913716814159294	50.743362831858406	42.075221238938056	36.59070796460177
24	539.6795918367347	717.5989795918367	505.61326530612246	671.0020408163265	499.2612244897959	498.21938775510205	479.16326530612247	406.3234693877551	610.4591836734694	619.6234693877551	524.7551020408164
25	442.13422818791946	683.4530201342282	374.64261744966444	547.1241610738255	428.5	435.6979865771812	341.28355704697987	304.73825503355704	461.55872483221475	488.0520134228188	401.78691275167785
26	334.157712305026	394.85528596187174	184.5831889081456	296.578856152513	226.421143847487	241.09965337954938	160.70970537261698	152.3882149046794	216.83882149046795	251.06065857885616	201.05112651646448
27	160.83895538628946	231.72742110990205	178.97823721436345	385.22633297062026	263.5854189336235	276.52176278563655	167.9254624591948	164.60391730141458	229.4771490750816	170.03699673558216	179.03645266594123
28	82.64847161572052	92.86681222707423	81.79912663755458	153.9825327510917	111.8853711790393	107.33624454148472	59.96124454148472	61.028930131004365	75.3717248908297	81.46615720524018	78.18558951965065
29	183.94972067039106	236.61133280127694	128.96648044692736	280.5754189944134	211.4197924980048	210.47645650438946	170.41500399042297	151.4708699122107	222.79409417398244	169.9409417398244	148.77972865123704
30	264.77319587628864	320.81572164948454	270.6726804123711	299.2667525773196	223.72551546391753	281.0734536082474	243.8672680412371	265.5283505154639	271.6701030927835	193.92268041237114	279.2938144329897
31	482.7606177606178	462.1003861003861	554.1428571428571	433.63513513513516	303.55019305019306	288.54247104247105	343.8339768339768	293.5	423.4980694980695	642.8166023166024	577.0135135135135
32	100.41629955947137	115.65859030837004	85.18722466960352	106.26982378854626	69.92731277533039	75.64757709251101	58.97466960352423	53.65418502202643	81.64867841409692	88.53964757709251	89.97907488986785
33	436.1626129256428	449.26893676164	176.91660875608062	398.08408617095205	270.6330785267547	257.9652536483669	209.9638637943016	172.38082001389853	252.5948575399583	181.406532314107	171.6094510076442
34	402.26682549136393	440.82072662298987	211.78856462179868	414.6265634306135	294.027397260274	271.5961882072662	299.2447885646218	251.2126265634306	370.0631328171531	227.5312686122692	206.77784395473495
35	382.8894324853229	361.5929549902153	247.866927592955	472.72211350293543	314.9099804305284	297.1252446183953	270.7749510763209	240.92857142857142	312.6908023483366	238.04207436399219	239.52739726027397
36	185.139180171592	171.3346043851287	105.77597712106768	145.3155386081983	103.32030505243088	108.86177311725453	97.89513822688275	102.52430886558628	123.94375595805529	105.61773117254528	103.22974261201144
37	217.68	252.625	158.6825	223.2425	162.59	164.04125	154.99	138.46	199.78625	185.42625	163.53125
38	189.68506900878293	215.0138017565872	203.37013801756586	260.573400250941	182.25595984943538	164.4629861982434	237.2007528230866	181.30363864491844	274.2120451693852	220.93224592220827	205.465495608532
39	584.911084043849	724.1583434835567	416.85749086479905	649.3276492082825	479.7600487210719	460.1522533495737	698.7758830694276	560.3800243605359	784.6065773447016	432.6784409257004	424.0816077953715
40	741.2517123287671	1207.9212328767123	677.652397260274	874.0068493150685	693.179794520548	631.5017123287671	774.763698630137	713.193493150685	1128.138698630137	993.207191780822	769.5342465753424
41	253.78691275167785	326.31879194630875	175.0755033557047	264.15604026845637	193.26677852348993	196.43791946308724	229.6006711409396	202.98657718120805	311.8003355704698	229.51342281879195	193.9295302013423
42	1949.2692106638788	2384.0972294824883	2805.1395713538946	2560.8379508625194	1859.0345007841088	1833.2932566649242	1861.0015682174594	1767.0010454783064	2650.906952430737	3109.0240460010455	2671.7935180345007
43	910.6541484716157	938.8934497816593	784.1205240174672	820.9275109170305	650.4689956331878	685.6873362445415	438.77554585152836	400.4401746724891	569.5161572052401	909.6602620087336	805.1772925764192
44	84.82440846824409	124.1892901618929	99.38978829389788	136.38231631382317	105.91282689912826	115.66127023661271	65.36488169364881	62.455790784557905	86.35865504358655	116.70236612702367	105.04732254047323
45	33.07574206755373	36.445240532241556	60.41453428863869	40.2302968270215	28.29682702149437	27.22517911975435	27.200614124872057	31.366427840327532	37.74616171954964	66.25281473899693	64.39303991811668
46	13.335051546391753	14.211340206185566	37.75257731958763	14.587628865979381	7.742268041237113	10.685567010309278	11.29896907216495	8.463917525773196	14.3659793814433	43.66494845360825	38.92783505154639
47	18.99738219895288	22.405759162303664	51.1282722513089	25.849476439790575	20.335078534031414	20.903141361256544	23.68193717277487	20.99869109947644	26.19764397905759	62.17670157068063	58.60078534031414
48	33.12919463087248	30.098993288590606	79.03523489932886	36.65268456375839	29.436241610738254	29.364093959731544	26.98993288590604	24.105704697986578	38.42785234899329	110.33053691275168	96.28020134228188
49	22.86673448626653	27.482197355035606	50.88911495422177	32.438453713123096	25.723296032553407	23.164801627670396	20.892166836215665	24.593082400813834	32.18413021363174	51.58087487283825	52.477110885045775
50	65.79711538461538	59.31442307692308	77.66538461538461	60.12980769230769	40.50769230769231	43.74807692307692	48.91153846153846	42.38076923076923	59.11923076923077	95.26538461538462	78.65576923076924
51	107.8524844720497	94.45962732919254	135.97049689440993	105.72670807453416	88.11024844720497	95.3555900621118	71.32142857142857	84.63975155279503	104.07298136645963	158.9301242236025	133.3276397515528
52	61.8685208596713	63.54614412136536	78.83185840707965	61.85840707964602	52.54108723135272	46.38432364096081	44.07964601769911	49.30214917825537	66.3716814159292	96.96333754740834	81.61820480404552
53	37.269329896907216	45.52319587628866	48.30283505154639	38.625	35.86211340206186	29.21520618556701	32.32603092783505	33.43685567010309	50.44329896907217	63.225515463917525	49.43556701030928
54	267.30118694362017	309.3100890207715	44.381305637982194	107.25816023738872	74.86350148367953	75.66023738872404	65.63353115727003	66.0326409495549	83.6379821958457	42.69436201780415	38.212166172106826
55	379.02956298200513	480.5694087403599	203.5591259640103	331.59897172236504	266.09704370179946	252.73778920308484	350.0584832904884	302.7641388174807	461.1253213367609	233.95051413881748	204.36825192802056
56	210.02620967741936	228.12197580645162	202.8790322580645	255.72076612903226	193.96975806451613	182.34072580645162	260.9274193548387	234.3084677419355	316.77520161290323	237.38709677419354	200.30645161290323
57	663.2118299445472	689.5722735674676	695.58853974122	803.2883548983364	572.1744916820702	549.1375231053604	650.9667282809612	608.9005545286507	828.5918669131238	794.0081330868761	708.0794824399261
58	879.4530120481928	883.5036144578313	913.1542168674699	1008.4614457831325	741.5036144578313	721.6156626506024	769.4578313253012	667.1518072289157	964.312048192771	946.066265060241	863.3903614457831
59	964.6859706362153	1131.2871125611746	1051.4486133768353	1067.3858075040782	852.0065252854812	858.2822185970637	981.7642740619902	1014.9037520391518	1446.9714518760195	1262.510603588907	1045.4559543230016
