Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO0001	2.20731E-05	0.000106834	0.000106834	8.82924E-05	7.15169E-05	5.65072E-05	7.15169E-05	8.82924E-05	8.82924E-05	0.00015255	8.98656E-05	4.77124E-05
SPO0002	2.69205E-06		2.69205E-06			1.07682E-05	1.07682E-05	2.69205E-06	4.30729E-05		2.4408E-05	3.99403E-05
SPO0003	0.000526554	0.000205685	0.000248879	0.000403143	0.000248879	0.000131638	0.000296186	0.000205685	0.000462791	0.000489268	4.4428E-05	5.18909E-05
SPO0004	0.001352539	0.003118817	0.002404513	0.002020459	0.001899862	0.001560336	0.002539952	0.002968535	0.002020459	0.002202818	0.003227951	0.001075942
SPO0006	5.70575E-06	5.70575E-06	1.28379E-05	1.28379E-05	2.2823E-05	1.28379E-05	1.42644E-06		1.42644E-06		6.10199E-06	1.86796E-06
SPO0007	2.42285E-05	4.30729E-05	2.42285E-05	9.69139E-05	4.30729E-05		4.30729E-05	2.42285E-05	6.73013E-05	8.76349E-06	1.70435E-05	7.72283E-06
SPO0008	0.000750776	0.000750776	0.000521372	0.001225804	0.00112153	0.000926884	0.000593206	0.000454173	0.000836513	0.001763474	0.000315932	0.000516874
SPO0009	0.00012566	9.92866E-05	0.00012566	0.000262179	0.000155135	0.000223395	0.000223395	0.000155135	0.000155135	0.001208194	0.000494261	7.06293E-05
SPO0010	0.001691588	0.002140917	0.00155356	0.004020459	0.002822251	0.001421404	0.00230244	0.003597562	0.00230244	0.0022569	0.007828295	0.000857682
SPO0011	0.000105828	0.000303082	0.000563582	0.000202889	0.000250481	0.000641231	0.000563582	0.000276155	0.000331261	0.000184288	0.000134274	0.000158973
SPO0012	0.001684831	0.001112252	0.001055944	0.001684831	0.001480809	0.001352106	0.000947717	0.001615361	0.002212072	0.002661122	0.00118598	0.006645065
SPO0013	6.81739E-05	7.57488E-06	4.7343E-05	0.000153391	6.81739E-05	3.02995E-05	3.02995E-05	3.02995E-05	0.000121198	2.94861E-05	2.4408E-05	8.98656E-05
SPO0015				8.54753E-06	3.41901E-05		2.13688E-06		3.41901E-05	1.84426E-05		
SPO0018	0.00620881	0.003771744	0.003093663	0.005673058	0.004833848	0.003093663	0.00602754	0.005673058	0.006960742	0.003598664	0.015254969	0.011813448
SPO0020	1.21142E-05	5.38411E-06	1.21142E-05	2.15364E-05	2.15364E-05	1.34603E-06	3.36507E-05	2.15364E-05	1.21142E-05	2.4408E-05	6.10199E-06	
SPO0023	1.46448E-05		1.46448E-05	3.29507E-05			3.66119E-06		1.46448E-05		3.73591E-06	
SPO0024	0.00016846	0.000242582	0.000203836	0.000330181	0.000242582	0.00016846	0.000136452	0.000242582	0.000242582	0.000172152	0.001372947	0.001031236
SPO0025	2.77363E-06								6.93408E-05			
SPO0026	1.28714E-05	3.57538E-05	7.00775E-05	5.72061E-06	1.28714E-05	5.14855E-05	5.14855E-05	7.00775E-05	7.00775E-05	0.000159761	5.49179E-05	3.89489E-06
SPO0027			8.97351E-07			3.5894E-06		3.5894E-06				2.4408E-05
SPO0029	4.74111E-05	4.74111E-05	2.10716E-05	6.45318E-05	2.10716E-05	1.18528E-05	2.10716E-05	5.2679E-06	1.18528E-05	1.23411E-06		5.37094E-06
SPO0030									7.66296E-05			9.15298E-06
SPO0031									3.1929E-06	0.000390527	0.000249627	0.00015255
SPO0034	5.61791E-05	0.000138728	9.28674E-05	9.28674E-05	0.000114651	4.12744E-05	9.28674E-05	0.000165098	9.28674E-05	0.000298997	0.000159645	0.000219672
SPO0035					3.92972E-06							
SPO0036	1.61523E-06	1.61523E-06	6.46093E-06	4.03808E-05	2.58437E-05	1.45371E-05	1.61523E-06		1.61523E-06		3.43237E-06	6.10199E-06
SPO0037				2.51773E-05	6.29431E-06							
SPO0038	0.000132133	0.000167231	0.000101165	0.000206458	0.000167231	0.000101165	7.4325E-05	3.30333E-05	3.30333E-05	4.4428E-05	1.97458E-05	9.76318E-05
SPO0039	0.000671449	0.001003029	0.001003029	0.000913917	0.001295233	0.001865136	0.001193687	0.00151076	0.001193687	0.000208565	0.000515019	0.000177712
SPO0041	2.54774E-05	4.52931E-05	7.07705E-05	2.83082E-06	1.13233E-05	2.83082E-06	7.07705E-05	0.00013871	0.000101909		8.70178E-06	3.99403E-05
SPO0042	2.77363E-06		2.77363E-06		1.10945E-05				2.77363E-06			
