Accession	MIT1002_ac_a	MIT1002_ac_b	MIT1002_ac_c	MIT1002_glc_ac_5_a	MIT1002_glc_ac_5_b	MIT1002_glc_ac_5_c	MIT1002_glc_ac_8_a	MIT1002_glc_ac_8_b	MIT1002_glc_ac_8_c	MIT1002_glc_a	MIT1002_glc_b	MIT1002_glc_c
VTP49998.1	1.65918E-06	8.13E-05	6.63673E-06	4.14796E-05	8.13E-05	8.13E-05	0.000165918	0.000200761	5.97306E-05	0.000106188	0.000200761	8.13E-05
VTP49999.1	0.000961057	0.000867354	0.000961057	0.001751527	0.001162879	0.001883672	0.000778456	0.000615077	0.001751527	0.003844229	0.003844229	0.003844229
VTP50001.1	0.000213841	0.001261227	0.000315307	0.000353493	0.001924571	0.000184383	0.003064693	0.005974461	0.002727566	0.002513725	0.00283776	0.003421459
VTP50002.1	0.000149552	0.000149552	0.000215355	0.000484549	0.000149552	0.000293122	0.000215355	0.000149552	9.57135E-05	9.57135E-05	0.000215355	5.38388E-05
VTP50003.1	0.0030511	0.003844055	0.002349639	0.0030511	0.00536897	0.005205041	0.003844055	0.00536897	0.004884809	0.001646908	0.003705542	0.002241624
VTP50004.1	0.001413999	0.001825929	0.002129763	0.001288375	0.001545466	0.003578821	0.001974925	0.002290445	0.00245697	0.001413999	0.002290445	0.002629338
VTP50006.1	5.17275E-05	5.17275E-05	2.299E-05	0.000281627	0.000143687	0.00020691	0.000143687	0.000143687	0.000143687	5.17275E-05	9.196E-05	5.17275E-05
VTP50007.1		0.000189564		2.10627E-05	0.000258018	4.73911E-05	0.000189564	8.42508E-05	8.42508E-05	0.000426519	0.000258018	0.000637146
VTP50009.1	0.000832638	0.002056105	0.000955834	0.001533583	0.000717938	0.000271882	0.001227716	0.001227716	0.001533583	0.001227716	0.001087527	0.000611734
VTP50010.1		1.66705E-05		4.16762E-06	3.75086E-05			3.75086E-05	0.00010419	4.16762E-06		1.66705E-05
VTP50011.1	0.000795213	0.00090868	0.00041699	0.000273266	0.000795213	0.00021275	0.002000797	0.001365383	0.000741316	0.000500199	0.00054464	0.000590973
VTP50012.1	0.000198567	0.000259353	6.48381E-05	0.000405238	0.000259353	0.000794267	0.000794267	0.000490338		0.000684853	0.000794267	0.000911786
VTP50014.1	6.897E-05	0.000155182	0.000231816	0.000122613	0.000231816	4.78958E-05	0.000155182	6.897E-05	4.78958E-05	4.78958E-05	3.06533E-05	1.72425E-05
VTP50015.1		8.01246E-06		8.01246E-06	1.8028E-05	1.8028E-05	0.000162252	7.21121E-05	5.00779E-05	5.00779E-05	5.00779E-05	7.21121E-05
VTP50016.1		4.45249E-05		2.78281E-06	0.000225407	1.11312E-05	0.000278281	0.000804232	1.11312E-05	0.000470295	0.000400724	0.000712399
VTP50017.1	5.20336E-06	0.000254965		4.68302E-05	0.000333015	8.32537E-05	0.000421472	0.000421472	0.000629606	0.000749283	0.000879367	0.000629606
VTP50018.1	8.86757E-05	8.86757E-05	8.86757E-05	3.94114E-05	0.000120697	2.46321E-06	2.21689E-05	6.15803E-05	9.85286E-06	6.15803E-05	3.94114E-05	8.86757E-05
VTP50022.1							4.37496E-06	4.37496E-06			4.37496E-06	
VTP50023.1	4.53867E-05	0.000181547	4.53867E-05	7.09167E-05	0.000138997	7.09167E-05	0.000138997	0.00022977	4.53867E-05	0.00010212	0.00010212	7.09167E-05
VTP50024.1										0.01052128	0.007532988	0
VTP50026.1		3.4084E-06	3.4084E-06	1.36336E-05	3.4084E-06	5.45344E-05	3.06756E-05	8.521E-05	5.45344E-05	0.00027608	0.00027608	0.000167012
VTP50027.1	0.000312664	0.000312664	0.000395715	1.95415E-05	0.000312664		0.000395715	0.000395715	0.000312664	0.000239383	0.000175873	0.000122134
VTP50028.1	2.54152E-06	4.06644E-05	2.28737E-05	6.35381E-05	9.14949E-05	9.14949E-05	2.28737E-05	4.06644E-05	9.14949E-05	2.28737E-05	4.06644E-05	6.35381E-05
VTP50031.1							3.18611E-06	2.8675E-05				1.27445E-05
VTP50036.1		2.08134E-05	2.08134E-05	2.08134E-05			2.08134E-05	5.20336E-06			4.68302E-05	4.68302E-05
VTP50037.1	0.000544514	0.000868809	0.000665182	0.00018251	0.000122176	0.000435913	0.000386137	0.000386137	0.000386137	0.000254911	0.000217202	0.000150835
VTP50038.1									7.92223E-06	7.92223E-06		
VTP50039.1	0.000164368	0.000475023	0.000322161	0.000657471	0.001111126	0.001027298	0.000475023	0.000593368	0.00023669	0.000198885	0.00023669	0.000322161
VTP50040.1	4.50958E-06	4.05862E-05	1.80383E-05	0.000162345	0.000288613	0.000112739	7.21532E-05	0.000112739	7.21532E-05	0.000112739	7.21532E-05	0.000112739
VTP50041.1	0.000174153	0.000260155	0.000215004	3.44007E-05	0.000260155	8.60017E-06	0.000174153	0.000137603	7.74015E-05	0.000105352	5.37511E-05	0.000137603
VTP50044.1	0.00124417	0.001386252	0.001858576	0.000552965	0.000864007	0.000188162	0.000245762	0.000245762	0.000464644	0.000311043	0.000311043	0.000384003
VTP50045.1	0.00035316	0.00035316	0.000794609	0.000127137	0.000173048	8.82899E-05	0.00050855	0.000286059	8.82899E-05	0.000427323	0.000427323	0.000173048
VTP50046.1	0.001286389	0.002216006	0.001814009	0.000453502	0.00060802	0.000282654	0.00060802	0.000723594	0.000407021	0.000453502	0.000502496	0.000407021
VTP50047.1	0.001364147	0.001905296	0.001364147	0.001905296	0.001623447	0.005456587	0.001623447	0.001364147	0.001905296	0.002536637	0.002886129	0.002209692
VTP50048.1	0.002913982	0.005586569	0.002086342	0.001396642	0.003379529	0.003379529	0.004414079	0.004414079	0.00062073	0.00248292	0.002913982	0.006224541
VTP50049.1		2.28407E-05		9.13628E-05	5.71018E-06		5.71018E-06		5.71018E-06			
VTP50051.1		2.17128E-05		2.17128E-05	0.000135705		0.000195415	0.000439684	5.42819E-06		4.88537E-05	2.17128E-05
VTP50052.1	3.66403E-06		3.66403E-06		5.86245E-05					3.29763E-05	5.86245E-05	1.46561E-05
VTP50053.1	2.24043E-05	2.24043E-05	8.96171E-05	0.000140027	8.96171E-05	0.000140027		2.24043E-05				
VTP50054.1	8.09648E-05	0.000143937	0.000143937	2.02412E-05	0.000143937					8.99609E-06		8.99609E-06
VTP50055.1	2.70076E-05	3.88909E-05	8.75046E-05	5.29349E-05	0.000155564	3.88909E-05	1.0803E-06	9.72273E-06	1.72849E-05		9.72273E-06	1.72849E-05
VTP50056.1	0.000638536	0.000638536	0.00049713	0.000797617	0.001610701	0.001380916	0.001168807	0.001272652	0.000974374	0.001380916	0.001858161	0.001168807
VTP50057.1	0.000208882	0.00074527	0.000257879	9.28364E-05	0.00136418	0.000126361	0.00074527	0.000930943	0.000312034	0.000371346	0.000505443	0.000312034
VTP50059.1	2.7576E-05	2.7576E-05	1.2256E-05		1.2256E-05	2.7576E-05						
VTP50060.1						2.5675E-05	0.0001027	0.0001027	0.000160468	0.0001027	0.000231075	5.77687E-05
VTP50063.1	4.23791E-05	1.05948E-05	1.05948E-05	9.53531E-05	1.05948E-05	4.23791E-05	1.05948E-05	1.05948E-05	9.53531E-05	0.000519145	0.000519145	0.00026487
VTP50064.1		5.24213E-06		1.31053E-06	1.17948E-05	5.24213E-06	5.24213E-06	1.31053E-06	1.17948E-05	1.17948E-05	5.24213E-06	5.24213E-06
VTP50065.1	9.13892E-06	1.6247E-05	9.13892E-06	1.6247E-05	0.000228473	3.65557E-05	4.97564E-05	0.000146223	6.49879E-05	0.000122868	0.000228473	0.000146223
VTP50066.1	0.001882498	0.004403351	0.0028726	0.000788174	0.001276711		0.004748584	0.003445817	0.00752999	0.005106845	0.003445817	0.0028726
VTP50067.1				2.21503E-06			3.54405E-05	1.99353E-05	8.86012E-06		8.86012E-06	2.21503E-06
VTP50070.1			1.49298E-06									
VTP50076.1	0.001545517	0.001212442	0.002786976	0.005495731	0.00566353	0.008902175	0.00028387	0.000504658	0.000364616	5.04658E-06	1.13548E-05	
VTP50077.1	5.08305E-06	4.57474E-05	5.08305E-06	2.03322E-05	4.57474E-05							
VTP50078.1		8.66372E-06	2.16593E-06				2.16593E-06			2.16593E-06	2.16593E-06	2.16593E-06
VTP50079.1										1.14576E-05		
VTP50081.1												1.90752E-06
VTP50082.1	0.000237667	0.000152107	0.000116457	0.000237667	0.000237667	0.00034224	5.94167E-05	2.37667E-06	5.94167E-05		2.139E-05	3.80267E-05
VTP50083.1	2.15531E-06	2.15531E-06									2.15531E-06	
VTP50084.1						2.33254E-06						
VTP50085.1				8.58757E-05	0.000278237	0.000123661	3.09153E-05	5.49605E-05				
VTP50088.1	1.64984E-06	6.59938E-06	1.64984E-06	0.00010559	0.000237578	0.00010559	5.93944E-05	5.93944E-05	1.48486E-05			
VTP50089.1					6.775E-05	1.38265E-06						
VTP50090.1	0.002024119	0.003598434	0.00307891	0.001520338	0.001189732	0.001295436	0.000575749	0.000575749	0.000143937	0.000440808	0.000323859	0.000440808
VTP50091.1	0.008117237	0.004980827	0.00436527	0.003977446	0.003607661	0.002922205	0.001091317	0.001409243	0.001091317	0.000651634	0.000730551	0.000441938
VTP50093.1	0.000281849	0.000721532	0.000405862	0.000476324	0.000814542	0.000721532	0.000634159	0.001127394	0.001017473	0.000634159	0.001017473	0.001364147
VTP50094.1	3.9858E-05	8.96805E-05	0.000159432		8.96805E-05			6.22781E-05				
VTP50097.1	0.000148625	0.000264223	0.000103212	0.000202296	0.000334407	0.000148625	0.000697714	0.000412849	0.000264223	0.000103212	0.000148625	0.000148625
VTP50098.1	0.000244269	0.000244269		0.000156332	0.000244269	0.000478767	8.79367E-05	0.000156332				
VTP50099.1	4.50316E-05	0.000151356	0.000151356	8.00562E-05	0.000405285	0.000180126	0.000125088	0.000320225	0.000151356	0.000551637	0.000551637	0.000211398
VTP50100.1	0.000831277	0.000989288	0.000687006	0.001545763	0.001346531	0.001545763	0.001985447	0.002225899	0.003957153	0.002225899	0.001545763	0.002225899
VTP50101.1									3.74199E-06		3.74199E-06	
VTP50102.1								1.27445E-06	5.09778E-06			
VTP50104.1	0.000677729	0.001814745	0.000806554	0.006861306	0.00126024	0.00988028	0.001433873	0.001097809	0.002021985	0.000453686	0.000560107	0.00094658
VTP50105.1	0.000264791	0.000160182	0.000117685	0.003559967	0.001059164	0.002383118	0.00083687	0.00073553	0.000552465	0.000326902	0.000264791	0.000117685
VTP50106.1	0.000125259	0.000163603	0.000309312	0.000654413	0.00102252	0.000501035	0.000738771	0.00102252	0.000575168	0.000309312	0.00025563	0.00025563
VTP50107.1	6.95152E-06	6.95152E-06	6.95152E-06	4.3447E-05	2.78061E-05	6.95152E-06						
VTP50108.1	0.00036918	9.22951E-05	0.000125624	0.000256375	0.000207664	0.000310214	9.22951E-05	9.22951E-05	0.000125624		1.0255E-05	4.10201E-05
VTP50109.1			8.9503E-06		2.01382E-05		8.9503E-06	2.23758E-06		8.9503E-06	8.9503E-06	
VTP50110.1		2.57125E-06			2.57125E-06			2.57125E-06				
VTP50118.1					2.22625E-06							
VTP50125.1	0.001941071	0.001329437	0.001560242	0.003692881	0.003332825	0.002513467	0.000452378	0.000332359	0.000390061	0.000747808	0.001220959	0.000833206
VTP50126.1	0.000307608	0.00027608	0.000307608	0.001230433	0.000307608	0.000716616	4.17529E-05	8.521E-05	0.000218138	0.000144005	0.000144005	0.000218138
VTP50127.1	4.79655E-05				4.79655E-05		0.000261145	0.000341088	4.79655E-05	4.79655E-05	8.5272E-05	2.1318E-05
VTP50128.1	0.001291078	0.002411446	0.001658318	0.000517866	0.001124672	0.00082629	0.001291078	0.000694313	0.000896582	0.000143453	0.000206572	0.000116197
VTP50129.1	2.69745E-06	0.000132175	2.69745E-06	4.31591E-05	0.000132175	4.31591E-05	0.000218493	0.000779562	6.74361E-05		2.4277E-05	2.4277E-05
VTP50130.1					1.42987E-05							
VTP50132.1	7.13483E-06		1.60534E-05	1.60534E-05	4.45927E-05	0.00014448				7.13483E-06		
VTP50133.1												3.0323E-06
VTP50135.1						1.72425E-05		4.31062E-06		1.72425E-05		6.897E-05
VTP50136.1	8.36607E-06	3.71826E-06	2.32391E-05	8.36607E-06	1.4873E-05	2.32391E-05			3.71826E-06			
VTP50138.1	9.90279E-05	0.000396111	0.0001426		0.000479295	3.96111E-06	9.90279E-05	3.565E-05	1.58445E-05	3.565E-05	3.565E-05	0.0001426
VTP50139.1						1.43453E-06	5.73812E-06	5.73812E-06	1.43453E-06		1.43453E-06	
VTP50141.1	4.94027E-05	4.94027E-05	0.000333962	0.000197611	0.000239109	0.000160065	4.94027E-05	3.16177E-05	4.94027E-05	1.7785E-05	3.16177E-05	4.94027E-05
VTP50143.1											2.0691E-06	
VTP50144.1		7.78416E-05	1.09465E-05	1.94604E-05	7.78416E-05	5.95975E-05	9.85183E-05	0.000147169	3.04069E-05	3.04069E-05	3.04069E-05	3.04069E-05
VTP50145.1	0.000208443	0.00026381	5.21107E-05	0.000159589	0.00026381	0.000208443	0.000159589	0.000208443	0.000208443	0.00026381	0.000159589	0.000394087
