gene_callers_id	NCBI_RefSeq_Protein_Accession
0	CAI3923074.1
1	CAI3923092.1
2	CAI3923104.1
3	CAI3923122.1
4	CAI3923129.1
5	CAI3923146.1
6	CAI3923164.1
7	CAI3923183.1
8	CAI3923200.1
9	CAI3923217.1
10	CAI3923236.1
11	CAI3923254.1
12	CAI3923272.1
13	CAI3923289.1
14	CAI3923309.1
15	CAI3923326.1
16	CAI3923343.1
17	CAI3923360.1
18	CAI3923369.1
19	CAI3923386.1
20	CAI3923403.1
21	CAI3923422.1
22	CAI3923439.1
23	CAI3923456.1
24	CAI3923473.1
25	CAI3923490.1
26	CAI3923508.1
27	CAI3923525.1
28	CAI3923546.1
29	CAI3923564.1
30	CAI3923576.1
32	CAI3923595.1
33	CAI3923615.1
34	CAI3923633.1
35	CAI3923652.1
36	CAI3923670.1
37	CAI3923688.1
38	CAI3923705.1
39	CAI3923722.1
40	CAI3923740.1
41	CAI3923757.1
42	CAI3923774.1
43	CAI3923792.1
44	CAI3923810.1
45	CAI3923828.1
46	CAI3923845.1
47	CAI3923863.1
48	CAI3923880.1
49	CAI3923897.1
50	CAI3923916.1
51	CAI3923933.1
52	CAI3923950.1
53	CAI3923967.1
54	CAI3923974.1
55	CAI3923977.1
56	CAI3923994.1
57	CAI3924012.1
58	CAI3924030.1
59	CAI3924042.1
60	CAI3924069.1
61	CAI3924086.1
62	CAI3924104.1
63	CAI3924121.1
64	CAI3924138.1
65	CAI3924156.1
66	CAI3924173.1
67	CAI3924190.1
68	CAI3924208.1
69	CAI3924226.1
70	CAI3924244.1
71	CAI3924262.1
72	CAI3924279.1
73	CAI3924296.1
74	CAI3924313.1
75	CAI3924332.1
76	CAI3924349.1
77	CAI3924367.1
78	CAI3924384.1
79	CAI3924404.1
80	CAI3924422.1
81	CAI3924439.1
82	CAI3924458.1
83	CAI3924476.1
84	CAI3924495.1
85	CAI3924513.1
86	CAI3924528.1
87	CAI3924545.1
88	CAI3924562.1
89	CAI3924581.1
90	CAI3924599.1
91	CAI3924616.1
92	CAI3924633.1
93	CAI3924651.1
94	CAI3924669.1
95	CAI3924687.1
96	CAI3924704.1
97	CAI3924724.1
98	CAI3924742.1
99	CAI3924759.1
101	CAI3924781.1
102	CAI3924799.1
103	CAI3924816.1
104	CAI3924834.1
105	CAI3924851.1
106	CAI3924868.1
107	CAI3924885.1
108	CAI3924904.1
109	CAI3924924.1
110	CAI3924941.1
111	CAI3924958.1
112	CAI3924978.1
113	CAI3924995.1
114	CAI3925015.1
115	CAI3925033.1
116	CAI3925050.1
117	CAI3925067.1
118	CAI3925103.1
119	CAI3925120.1
120	CAI3925139.1
121	CAI3925156.1
122	CAI3925173.1
123	CAI3925191.1
124	CAI3925202.1
125	CAI3925220.1
126	CAI3925238.1
127	CAI3925255.1
128	CAI3925273.1
129	CAI3925291.1
130	CAI3925309.1
131	CAI3925327.1
132	CAI3925345.1
133	CAI3925362.1
134	CAI3925380.1
135	CAI3925397.1
136	CAI3925415.1
137	CAI3925434.1
138	CAI3925441.1
139	CAI3925445.1
140	CAI3925462.1
141	CAI3925479.1
142	CAI3925498.1
143	CAI3925517.1
144	CAI3925535.1
145	CAI3925553.1
146	CAI3925558.1
147	CAI3925565.1
148	CAI3925583.1
149	CAI3925600.1
150	CAI3925617.1
151	CAI3925635.1
152	CAI3925652.1
153	CAI3925669.1
154	CAI3925687.1
155	CAI3925722.1
156	CAI3925739.1
157	CAI3925757.1
158	CAI3925767.1
159	CAI3925784.1
160	CAI3925801.1
161	CAI3925819.1
162	CAI3925836.1
163	CAI3925855.1
164	CAI3925873.1
165	CAI3925890.1
166	CAI3925909.1
167	CAI3925926.1
168	CAI3925944.1
169	CAI3925962.1
170	CAI3925975.1
171	CAI3925995.1
172	CAI3926012.1
173	CAI3926029.1
174	CAI3926046.1
175	CAI3926063.1
176	CAI3926081.1
177	CAI3926101.1
178	CAI3926119.1
179	CAI3926137.1
180	CAI3926153.1
181	CAI3926171.1
182	CAI3926188.1
183	CAI3926205.1
184	CAI3926222.1
185	CAI3926240.1
186	CAI3926259.1
187	CAI3926277.1
188	CAI3926287.1
189	CAI3926305.1
190	CAI3926119.1
191	CAI3926333.1
192	CAI3926350.1
193	CAI3926367.1
194	CAI3926385.1
195	CAI3926403.1
196	CAI3926420.1
197	CAI3926437.1
198	CAI3926455.1
199	CAI3926472.1
200	CAI3926489.1
201	CAI3926506.1
202	CAI3926525.1
203	CAI3926542.1
204	CAI3926561.1
205	CAI3926578.1
206	CAI3926597.1
207	CAI3926615.1
208	CAI3926632.1
209	CAI3926650.1
210	CAI3926668.1
211	CAI3926686.1
212	CAI3926705.1
213	CAI3926723.1
214	CAI3926741.1
215	CAI3926758.1
216	CAI3926776.1
217	CAI3926793.1
218	CAI3926811.1
219	CAI3926832.1
220	CAI3926851.1
221	CAI3926868.1
222	CAI3926885.1
223	CAI3926904.1
224	CAI3926922.1
225	CAI3926939.1
226	CAI3926956.1
227	CAI3926973.1
228	CAI3926992.1
229	CAI3927010.1
230	CAI3927027.1
231	CAI3927045.1
232	CAI3927064.1
233	CAI3927082.1
234	CAI3927099.1
235	CAI3927105.1
236	CAI3927122.1
237	CAI3927157.1
238	CAI3927175.1
240	CAI3927210.1
241	CAI3927229.1
242	CAI3927246.1
243	CAI3927263.1
244	CAI3927280.1
245	CAI3927297.1
246	CAI3927303.1
247	CAI3927320.1
248	CAI3927338.1
249	CAI3927355.1
250	CAI3927372.1
251	CAI3927390.1
252	CAI3927410.1
253	CAI3927428.1
254	CAI3927446.1
