gene_callers_id	Accession
0	VTP56522.1
1	VTP56520.1
2	VTP56518.1
3	VTP56516.1
4	VTP56514.1
5	VTP56512.1
6	VTP56510.1
7	VTP56508.1
8	VTP56506.1
9	VTP56504.1
10	VTP56502.1
11	VTP56500.1
12	VTP56498.1
13	VTP56496.1
14	VTP56494.1
15	VTP56492.1
16	VTP56490.1
17	VTP56488.1
18	VTP56486.1
19	VTP56484.1
20	VTP56482.1
21	VTP56480.1
22	VTP56478.1
23	VTP56476.1
24	VTP56474.1
25	VTP56472.1
26	VTP56470.1
27	VTP56468.1
28	VTP56466.1
29	VTP56464.1
30	VTP56462.1
31	VTP56460.1
32	VTP56458.1
33	VTP56456.1
34	VTP56454.1
35	VTP56452.1
36	VTP56450.1
37	VTP56448.1
38	VTP56446.1
39	VTP56444.1
40	VTP56442.1
41	VTP56438.1
42	VTP56436.1
43	VTP56434.1
45	VTP56432.1
46	VTP56430.1
47	VTP56428.1
48	VTP56426.1
49	VTP56424.1
50	VTP56422.1
51	VTP56420.1
52	VTP56418.1
53	VTP56416.1
54	VTP56414.1
55	VTP56412.1
56	VTP56410.1
57	VTP56408.1
58	VTP56406.1
59	VTP56404.1
60	VTP56402.1
61	VTP56400.1
62	VTP56398.1
63	VTP56396.1
64	VTP56394.1
65	VTP56392.1
66	VTP56390.1
67	VTP56388.1
68	VTP56386.1
69	VTP56384.1
70	VTP56382.1
71	VTP56380.1
72	VTP56378.1
73	VTP56376.1
74	VTP56374.1
75	VTP56372.1
76	VTP56370.1
77	VTP56368.1
78	VTP56366.1
79	VTP56364.1
80	VTP56362.1
81	VTP56360.1
82	VTP56358.1
83	VTP56356.1
84	VTP56354.1
85	VTP56352.1
86	VTP56350.1
87	VTP56348.1
88	VTP56346.1
89	VTP56344.1
90	VTP56342.1
91	VTP56340.1
92	VTP56338.1
93	VTP56336.1
94	VTP56334.1
95	VTP56332.1
96	VTP56330.1
97	VTP56328.1
98	VTP56326.1
99	VTP56324.1
100	VTP56322.1
101	VTP56320.1
102	VTP56318.1
103	VTP56316.1
104	VTP56314.1
105	VTP56312.1
106	VTP56310.1
107	VTP56308.1
108	VTP56306.1
109	VTP56304.1
110	VTP56302.1
111	VTP56300.1
112	VTP56298.1
113	VTP56296.1
114	VTP56294.1
115	VTP56292.1
116	VTP56290.1
117	VTP56288.1
118	VTP56286.1
119	VTP56284.1
120	VTP56282.1
121	VTP56280.1
122	VTP56278.1
123	VTP56276.1
124	VTP56274.1
125	VTP56272.1
126	VTP56270.1
127	VTP56268.1
128	VTP56266.1
129	VTP56264.1
130	VTP56262.1
131	VTP56260.1
132	VTP56258.1
133	VTP56256.1
134	VTP56254.1
135	VTP56252.1
136	VTP56250.1
137	VTP56248.1
138	VTP56246.1
139	VTP56244.1
140	VTP56242.1
141	VTP56240.1
142	VTP56238.1
143	VTP56236.1
144	VTP56234.1
145	VTP56232.1
146	VTP56230.1
147	VTP56228.1
