gene_callers_id	Accession
0	VTP49998.1
1	VTP49999.1
2	VTP50000.1
3	VTP50001.1
4	VTP50002.1
5	VTP50003.1
6	VTP50004.1
7	VTP50005.1
8	VTP50006.1
9	VTP50007.1
10	VTP50008.1
11	VTP50009.1
12	VTP50010.1
13	VTP50011.1
14	VTP50012.1
15	VTP50013.1
16	VTP50014.1
17	VTP50015.1
18	VTP50016.1
19	VTP50017.1
20	VTP50018.1
21	VTP50019.1
22	VTP50020.1
23	VTP50021.1
24	VTP50022.1
25	VTP50023.1
26	VTP50024.1
27	VTP50025.1
28	VTP50026.1
29	VTP50027.1
30	VTP50028.1
32	VTP55588.1
33	VTP50030.1
34	VTP50031.1
35	VTP50032.1
36	VTP50033.1
37	VTP50034.1
38	VTP50035.1
39	VTP50036.1
40	VTP50037.1
41	VTP50038.1
42	VTP50039.1
43	VTP50040.1
44	VTP50041.1
45	VTP50042.1
46	VTP50043.1
47	VTP50044.1
48	VTP50045.1
49	VTP50046.1
50	VTP50047.1
51	VTP50048.1
52	VTP50049.1
53	VTP50050.1
54	VTP50051.1
55	VTP50052.1
56	VTP50053.1
57	VTP50054.1
58	VTP50055.1
59	VTP50056.1
60	VTP50057.1
61	VTP50058.1
62	VTP50059.1
63	VTP50060.1
64	VTP50061.1
65	VTP50062.1
66	VTP50063.1
67	VTP50064.1
68	VTP50065.1
69	VTP50066.1
70	VTP50067.1
71	VTP50068.1
72	VTP50069.1
73	VTP50070.1
74	VTP50071.1
75	VTP50072.1
76	VTP50073.1
77	VTP50074.1
78	VTP50075.1
79	VTP50076.1
80	VTP50077.1
81	VTP50078.1
82	VTP50079.1
83	VTP50080.1
84	VTP50081.1
85	VTP50082.1
86	VTP50083.1
87	VTP50084.1
88	VTP50085.1
89	VTP50086.1
90	VTP50087.1
91	VTP50088.1
92	VTP50089.1
93	VTP50090.1
94	VTP50091.1
95	VTP50092.1
96	VTP50093.1
97	VTP50094.1
98	VTP50095.1
99	VTP56030.1
101	VTP50097.1
102	VTP50098.1
103	VTP50099.1
104	VTP50100.1
105	VTP50101.1
106	VTP50102.1
107	VTP50103.1
108	VTP50104.1
109	VTP50105.1
110	VTP50106.1
111	VTP50107.1
112	VTP50108.1
113	VTP50109.1
114	VTP50110.1
115	VTP50111.1
116	VTP50112.1
117	VTP50113.1
118	VTP50115.1
119	VTP50116.1
120	VTP50117.1
121	VTP50118.1
122	VTP50119.1
123	VTP50120.1
124	VTP50121.1
125	VTP50122.1
126	VTP50123.1
127	VTP50124.1
128	VTP50125.1
129	VTP50126.1
130	VTP50127.1
131	VTP50128.1
132	VTP50129.1
133	VTP50130.1
134	VTP50131.1
135	VTP50132.1
136	VTP50133.1
137	VTP50134.1
138	VTP50135.1
139	VTP50136.1
140	VTP50137.1
141	VTP50138.1
142	VTP50139.1
143	VTP50140.1
144	VTP50141.1
145	VTP50142.1
146	VTP50143.1
147	VTP50144.1
148	VTP50145.1
149	VTP50146.1
150	VTP50147.1
151	VTP50148.1
152	VTP50149.1
153	VTP50150.1
154	VTP50151.1
155	VTP50153.1
156	VTP50154.1
157	VTP50155.1
158	VTP50156.1
159	VTP50157.1
160	VTP50158.1
161	VTP50159.1
162	VTP50160.1
163	VTP50161.1
164	VTP50162.1
165	VTP50163.1
166	VTP50164.1
167	VTP50165.1
168	VTP50166.1
169	VTP50167.1
